keys,en,zh
ENEMY_wasteland_killer_NAME,"Wasteland Killer","废土杀手"
ENEMY_scrap_rat_NAME,"Scrap Rat","废料鼠"
ENEMY_riot_hound_NAME,"Riot Hound","暴乱猎犬"
ENEMY_rust_brute_NAME,"Rust Brute","锈蚀蛮兵"
ENEMY_mortar_cart_NAME,"Mortar Cart","迫击炮车"
ENEMY_armored_patrol_NAME,"Armored Patrol","装甲巡逻者"
ENEMY_junkyard_tyrant_NAME,"Junkyard Tyrant","废料场暴君"
ENEMY_trash_robot_NAME,"Trash Robot","垃圾机器人"
ENEMY_rust_titan_NAME,"Rust Titan","锈蚀泰坦"
ENEMY_ash_warden_NAME,"Ash Warden","灰烬守望者"
ENEMY_slag_walker_NAME,"Slag Walker","熔渣行者"
ENEMY_acid_spitter_NAME,"Acid Spitter","喷酸者"
ENEMY_chrome_hound_NAME,"Chrome Hound","铬犬"
ENEMY_riot_hound_alpha_NAME,Riot Hound Alpha,暴乱猎犬·头领
ENEMY_mortar_cart_siege_NAME,Siege Mortar,攻城迫击炮
