keys,en,zh
UI_WAREHOUSE_BALANCES,"Core: {core}    Caps: {caps}    Scrap: {scrap}","核心: {core}    瓶盖: {caps}    废料: {scrap}"
UI_WAREHOUSE_CUR_CORE,Core,核心
UI_WAREHOUSE_CUR_CAPS,Caps,瓶盖
UI_WAREHOUSE_CUR_SCRAP,Scrap,废料
UI_WAREHOUSE_FN_LOCKED,"Locked — upgrade to tier {n} to use this.","未解锁 —— 升级到 T{n} 后可用。"
UI_WAREHOUSE_HERO_TITLE,Choose Hero,选择英雄
UI_WAREHOUSE_HERO_PICK,Select,选择
UI_WAREHOUSE_HERO_SELECTED,Selected,已选择
UI_WAREHOUSE_HERO_LOCKED,Locked,未解锁
UI_WAREHOUSE_HERO_PICK_OK,"{hero} will lead the next run.","下一局将由 {hero} 出战。"
UI_WAREHOUSE_LOADOUT_TITLE,Departure Loadout,出征装备
UI_WAREHOUSE_LOADOUT_COUNT,"Marked: {n} / {cap}","已选: {n} / {cap}"
UI_WAREHOUSE_LOADOUT_EMPTY,No gear in the stash yet.,仓库里还没有装备。
UI_WAREHOUSE_LOADOUT_ADD,Carry,带上
UI_WAREHOUSE_LOADOUT_REMOVE,Leave,留下
UI_WAREHOUSE_SLOTS_TITLE,More Warehouse Slots,扩充仓库
UI_WAREHOUSE_SLOTS_CAP,"Current stash capacity: {cap}","当前仓库容量: {cap}"
UI_WAREHOUSE_SLOTS_TODO,"Capacity increase pending: needs a persistent warehouse slot bonus in MetaProgress.","容量提升待实现：需要在 MetaProgress 中新增持久化的仓库槽位加成。"
UI_WAREHOUSE_CONVERT_TITLE,Resource Conversion,资源兑换
UI_WAREHOUSE_CONVERT_CORE,"{src} Core  →  {dst} Caps (after 10% tax)","{src} 核心  →  {dst} 瓶盖（已扣 10% 税）"
UI_WAREHOUSE_CONVERT_CAPS,"{src} Caps  →  {dst} Scrap (after 10% tax)","{src} 瓶盖  →  {dst} 废料（已扣 10% 税）"
UI_WAREHOUSE_CONVERT_DO,Convert,兑换
UI_WAREHOUSE_CONVERT_OK,"Converted {src} {src_name} into {dst} {dst_name}.","已将 {src} {src_name} 兑换为 {dst} {dst_name}。"
