keys,en,zh
UI_COMBAT_DOUBLE_DAMAGE_ACTIVE,DOUBLE DAMAGE ACTIVE!,双倍伤害已激活！
UI_COMBAT_ATTR_GAIN,{attr} +{n},{attr} +{n}
UI_COMBAT_ATTR_STRENGTH,STRENGTH,力量
UI_COMBAT_ATTR_CONSTITUTION,CONSTITUTION,体质
UI_COMBAT_ATTR_INTELLIGENCE,INTELLIGENCE,智力
UI_COMBAT_ATTR_LUCK,LUCK,幸运
UI_COMBAT_ATTR_CHARM,CHARM,魅力
UI_COMBAT_DEALT_DAMAGE,DEALT {n} DAMAGE,造成 {n} 点伤害
UI_COMBAT_NO_TARGET,NO TARGET!,没有目标！
UI_COMBAT_GAIN_BLOCK,+{n} BLOCK,+{n} 格挡
UI_COMBAT_GAIN_ENERGY,+{n} ENERGY,+{n} 能量
UI_COMBAT_DRAW,DRAW {n},抽 {n} 张
UI_COMBAT_ALL_ENEMIES_HIT,ALL ENEMIES HIT,命中全体敌人
UI_COMBAT_DODGE,DODGED!,闪避！
UI_COMBAT_HARMONY,YIN-YANG HARMONY!,阴阳调和！
UI_COMBAT_STUN_X,STUN x{n},眩晕 x{n}
UI_COMBAT_ALL_STUN_X,ALL: STUN x{n},全体：眩晕 x{n}
UI_COMBAT_APPLIED_STATUS,APPLIED {status} x{n},施加 {status} x{n}
UI_COMBAT_ALL_STATUS,ALL: {status} x{n},全体：{status} x{n}
UI_COMBAT_STATUS_BLEED,Bleed,流血
UI_COMBAT_STATUS_BURN,Burn,灼烧
UI_COMBAT_STATUS_WEAK,Weak,虚弱
UI_COMBAT_STATUS_VULNERABLE,Vulnerable,易伤
UI_COMBAT_STATUS_DOUBLE_DAMAGE,Double damage,双倍伤害
UI_COMBAT_STATUS_STUN,Stun,眩晕
UI_COMBAT_STATUS_REGEN,Regen,再生
UI_COMBAT_STATUS_THORNS,Thorns,荆棘
UI_COMBAT_STATUS_FRAIL,Frail,脆弱
UI_COMBAT_STATUS_DODGE,Dodge,闪避
UI_COMBAT_STATUS_BLEED_DESC,Take damage equal to stacks at the start of your turn. Then stacks are halved (rounded down).,每回合开始时受到等同层数的伤害。然后层数减半（向下取整）。
UI_COMBAT_STATUS_BURN_DESC,Take damage equal to stacks at the end of your turn. Lose 1 stack at the start of each turn.,每回合结束时受到等同层数的伤害。每回合开始时层数 -1。
UI_COMBAT_STATUS_WEAK_DESC,Outgoing attack damage reduced 25% per stack. Decays 1 per turn.,每层使造成的攻击伤害降低 25%。每回合衰减 1 层。
UI_COMBAT_STATUS_VULNERABLE_DESC,Incoming attack damage increased 50% per stack. Decays 1 per turn.,每层使受到的攻击伤害提高 50%。每回合衰减 1 层。
UI_COMBAT_STATUS_DOUBLE_DAMAGE_DESC,Next N attacks deal double damage. Consumed on use.,接下来 N 次攻击造成双倍伤害。使用后消耗。
UI_COMBAT_STATUS_STUN_DESC,Enemy skips its next turn for each stack (enemy-only).,每层使敌人跳过其下一回合（仅敌人）。
UI_COMBAT_STATUS_REGEN_DESC,Heal stacks HP at the start of your turn. Stacks decay by 1 each turn.,每回合开始时回复等同层数的生命值。每回合衰减 1 层。
UI_COMBAT_STATUS_THORNS_DESC,"When hit by an attack, the attacker takes stacks damage. Persistent.",被攻击命中时，攻击者受到等同层数的伤害。持续存在。
UI_COMBAT_STATUS_FRAIL_DESC,Block gained is reduced 25%. Decays 1 per turn.,获得的格挡降低 25%。每回合衰减 1 层。
UI_COMBAT_STATUS_DODGE_DESC,"Completely negates incoming attacks, one stack consumed per attack.",完全抵消受到的攻击，每次攻击消耗一层。
UI_COMBAT_STATUS_TIP,"[b]{name} ×{n}[/b]
{desc}","[b]{name} ×{n}[/b]
{desc}"
UI_COMBAT_STATUS_TIP_NO_DESC,[b]{name} ×{n}[/b],[b]{name} ×{n}[/b]
UI_COMBAT_INTENT_BUFF,BUFF,增益
UI_COMBAT_INTENT_CHARGE,CHARGE,蓄力
UI_COMBAT_INTENT_TIP_ATTACK,Attack — deals {n} damage,攻击 — 造成 {n} 点伤害
UI_COMBAT_INTENT_TIP_ATTACK_STATUS,Attack — deals {n} damage and applies {status} {k},攻击 — 造成 {n} 点伤害并施加 {status} {k}
UI_COMBAT_INTENT_TIP_DEFEND,Defend — gains {n} Block,防御 — 获得 {n} 点格挡
UI_COMBAT_INTENT_TIP_HEAL,Heal — restores {n} HP,治疗 — 回复 {n} 点生命
