keys,en,zh
UI_EQUIP_TITLE_CHARACTER,CHARACTER,角色
UI_EQUIP_SLOTS,SLOTS,装备槽
UI_EQUIP_ACTIVE_SETS,ACTIVE SETS,激活套装
UI_EQUIP_RELICS,RELICS,遗物
UI_EQUIP_UNEQUIP,UNEQUIP,卸下
UI_EQUIP_EQUIP,EQUIP,装备
UI_EQUIP_DISCARD,DISCARD,丢弃
UI_EQUIP_VITALS,HP {hp} / {max}     GOLD {gold}     ACT {act} · FLOOR {floor},生命 {hp} / {max}     金币 {gold}     第{act}幕 · {floor}层
UI_EQUIP_INVENTORY_COUNT,INVENTORY ({n}/{max}),背包 ({n}/{max})
UI_EQUIP_CELL_GOLD,GOLD,金币
UI_EQUIP_CELL_CORE,CORE,Core
UI_EQUIP_SAFE_FULL,Safe cells are full,安全格已满
UI_EQUIP_BACKPACK_HINT,"Left-click equip · Right-click discard · Middle-click to (un)safe · gold border = safe","左键装备 · 右键丢弃 · 中键移入/出安全格 · 金边=安全格(死亡不丢)"
UI_EQUIP_EMPTY,(empty),(空)
UI_EQUIP_EMPTY_SLOT,(empty slot),(空槽)
UI_EQUIP_NONE_YET,"  (none yet)","  (暂无)"
UI_EQUIP_STATS,STR:{str}  CON:{con}  INT:{int}  LUC:{luc}  CHA:{cha},力量:{str}  体质:{con}  智力:{int}  幸运:{luc}  魅力:{cha}
UI_EQUIP_ATTR_TIP,"[b]Strength[/b]: +1 attack damage each.
[b]Constitution[/b]: +1 Block gained each.
[b]Intelligence[/b]: +5% combat XP and stronger Bleed each.
[b]Luck[/b]: +1.5% loot rarity, and a chance to find gems each.
[b]Charm[/b]: -2% shop prices each (down to -40%).","[b]力量[/b]：每点 +1 攻击伤害。
[b]体质[/b]：每点 +1 获得的格挡。
[b]智力[/b]：每点 +5% 战斗经验，并增强流血。
[b]幸运[/b]：每点 +1.5% 战利品稀有度，并有概率掉落宝石。
[b]魅力[/b]：每点 -2% 商店价格（最低 -40%）。"
UI_EQUIP_NO_BONUSES,(no bonuses),(无加成)
UI_EQUIP_FULL_SWAP,INVENTORY FULL — discard something first to swap,背包已满 — 请先丢弃物品再替换
UI_EQUIP_FULL_UNEQUIP,INVENTORY FULL — discard something first to unequip,背包已满 — 请先丢弃物品再卸下
UI_EQUIP_SET_PREFIX,Set: {name},套装：{name}
UI_EQUIP_SLOT_HEAD,HEAD,头部
UI_EQUIP_SLOT_CHEST,CHEST,胸甲
UI_EQUIP_SLOT_WEAPON,WEAPON,武器
UI_EQUIP_SLOT_HANDS,HANDS,手部
UI_EQUIP_SLOT_ACCESSORY,ACCESSORY,饰品
UI_EQUIP_MODAL_FULL_TITLE,INVENTORY FULL,背包已满
UI_EQUIP_MODAL_FULL_SUBTITLE,"Pick something to discard, or skip the new equipment:",选择一件丢弃，或跳过新装备：
UI_EQUIP_MODAL_INCOMING,── INCOMING ──,── 新装备 ──
UI_EQUIP_MODAL_DISCARD_SELECTED,DISCARD SELECTED,丢弃所选
UI_EQUIP_MODAL_SKIP,SKIP NEW ITEM,跳过新物品
UI_EQUIP_DISCARD_TITLE,Discard Equipment,丢弃装备
UI_EQUIP_DISCARD_CONFIRM,Discard {item}? It will be lost permanently.,丢弃 {item}？将永久失去。
UI_AFFIX_ATTR_STRENGTH,+{value} Strength,+{value} 力量
UI_AFFIX_ATTR_CONSTITUTION,+{value} Constitution,+{value} 体质
UI_AFFIX_ATTR_INTELLIGENCE,+{value} Intelligence,+{value} 智力
UI_AFFIX_ATTR_LUCK,+{value} Luck,+{value} 幸运
UI_AFFIX_ATTR_CHARM,+{value} Charm,+{value} 魅力
UI_AFFIX_CRIT_PCT,+{value}% Crit,+{value}% 暴击
UI_AFFIX_MAX_HP,+{value} Max HP,+{value} 生命上限
UI_AFFIX_CURSE_ATTR_STRENGTH,{value} Strength (Curse),{value} 力量（诅咒）
UI_AFFIX_CURSE_ATTR_CONSTITUTION,{value} Constitution (Curse),{value} 体质（诅咒）
UI_AFFIX_CURSE_MAX_HP,{value} Max HP (Curse),{value} 生命上限（诅咒）
UI_AFFIX_CURSE_CRIT,{value}% Crit (Curse),{value}% 暴击（诅咒）
