keys,en,zh
UI_SHOP_TITLE,THE MERCHANT,商人
UI_SHOP_GOLD,GOLD,金币
UI_SHOP_SECTION_CARDS,CARDS,卡牌
UI_SHOP_SECTION_EQUIPMENT,EQUIPMENT,装备
UI_SHOP_SECTION_RELIC,RELIC,遗物
UI_SHOP_SECTION_SERVICES,SERVICES,服务
UI_SHOP_LEAVE,LEAVE,离开
UI_SHOP_PRICE,{n}g,{n}金
UI_SHOP_BUY,BUY,购买
UI_SHOP_REMOVE_SERVICE_INFO,Remove a card from your deck,从牌组中移除一张卡牌
UI_SHOP_REMOVE,REMOVE,移除
UI_SHOP_SOLD,SOLD,已售出
UI_SHOP_REMOVE_MODAL_TITLE,REMOVE A CARD,移除卡牌
UI_SHOP_REMOVE_MODAL_SUBTITLE,Pick a card to permanently remove from your deck.,选择一张卡牌从牌组中永久移除。
UI_SHOP_CANCEL,CANCEL,取消
UI_SHOP_NO_BONUSES,(no bonuses),（无加成）
